Case_ID	Case_Type	Case_Status	Filing_Date	Resolution_Date	Cost_Type	Amount	Payment_Status	Outcome_Type	Resolution_Time	Judge_ID	Court_Record_ID
8a2767f3-c580-4ae0-be52-89511306e2dc	Labour	Dismissed	2023-03-08	2023-09-04	Variable	66513.79875989388	Pending	Settled	355	62ce07e6-0ff2-4b49-bddc-62b8a1459a8f	2a778f77-ed55-4865-a436-285fd2876bcf
3368c5d9-b158-4c10-9a3f-4c663dc3fac7	Family	Pending	2021-02-11	2024-05-07	Variable	82186.85720828605	Failed	Acquittal	252	36c2d088-ca2d-488c-9d59-ccd957618b29	65b0e80f-66ee-44de-ba3c-fddb30d71108
3eeb7768-9463-4da5-9700-d6e410d66926	Commercial	Closed	2022-06-18	2022-04-10	Variable	48318.87919020183	Paid	Dismissed	278	9f13983b-f041-4a42-bb0e-f043e7a133c2	26b95e86-26cc-457e-96a7-6b780da578f4
dc9873c5-483b-46d5-a456-49c499875ceb	Commercial	Pending	2020-07-27	2023-11-04	Variable	50347.309833354666	Pending	Settled	213	00b2bb03-cc6e-4b76-bace-0508cc83f2ae	4fad4997-0da7-4931-ab39-d23f0e66e1ee
abf39f15-1c80-4ca5-980e-6203db23d439	Labour	Closed	2021-11-14	2024-03-27	Variable	12130.639780241992	Pending	Dismissed	106	5c7eb707-0456-4c5b-949f-f71b5d73e55c	eb7416c6-052d-44c2-8306-9938931e1b13
fac9ee27-c920-4159-bffb-751b6fad3d23	Commercial	Closed	2023-09-25	2021-04-30	Fixed	48966.97330090717	Failed	Settled	331	91469519-2482-4486-b50e-04c6c462ce58	9c514dad-ae35-49df-951b-80715b8858e2
a2065daa-29ee-480f-9a1a-71000a57b512	Commercial	Settled	2023-10-15	2022-10-15	Variable	47388.110006073235	Paid	Acquittal	73	bd690063-6698-4890-99ca-5d22a432defa	c2121582-0e99-49af-85ee-12cb60a2fae0
b5309fa0-10c5-4a1f-8cdb-2d1998eb2f44	Family	Settled	2021-01-23	2023-03-26	Fixed	95697.31067694488	Failed	Dismissed	250	5fe42617-7c13-4cd5-9667-6dd759f478c4	cbbea9b5-bdb3-4ccb-88ad-b646c3f1a615
3c63698f-a9cf-42aa-ba5b-5eceb66403ac	Civil	Settled	2024-08-15	2022-12-08	Variable	74270.27618318693	Paid	Dismissed	342	37d9a45f-6ea3-48f5-ac45-4272ce812f72	944ecd12-7f7a-4577-8eb0-037442830bbd
2861f6d5-85eb-4259-8b6a-0af5e002b312	Labour	Closed	2024-02-21	2021-11-03	Fixed	37786.793800394626	Paid	Dismissed	158	4fa1ca10-742b-400e-971e-ccdde8ab04cb	dd05674b-37f9-4342-a081-35ca02625836
93a2b020-aa20-467a-b712-0658a5ea3641	Civil	Settled	2021-08-05	2021-12-07	Fixed	98715.56030512747	Pending	Acquittal	73	e8d4eec9-599e-4509-890f-bb4b5227d711	01603b84-0705-4aca-a277-981e78c3ac90
58253fbf-d6a5-4882-a19f-11013cd10d3d	Commercial	Pending	2020-12-03	2024-11-19	Fixed	84075.75838627422	Failed	Conviction	257	ff441c03-e771-43b4-bb6e-ab5bafc017c9	874df824-2cc3-4877-be49-ff9be3175de0
709acd27-b132-4353-b7a7-0b505705dd0c	Commercial	Closed	2023-04-08	2020-11-11	Variable	51324.2971707587	Failed	Dismissed	224	1512544e-9d83-4693-8a71-071d69f4727f	d6889279-b203-4748-9b9a-edc354cf0813
dee0e511-55ad-473e-9a48-36ea44937302	Criminal	Pending	2024-07-21	2021-09-05	Fixed	8853.632146364926	Paid	Acquittal	302	7689bff7-2b84-4a38-90db-3df1dce77381	f8d30ef1-b556-4918-b1a4-c55895f44a81
cc0142f0-004b-4e8b-81c1-ee207faa6e37	Criminal	Settled	2022-08-28	2020-07-26	Variable	51656.584458652025	Paid	Dismissed	236	a5d114e8-e178-466b-9b47-c62849c60b50	eb4c5140-88b3-42e3-96ec-a3510f7440fa
9c1c55b2-3abd-4b25-99c6-3b4ece75c7e9	Labour	Closed	2023-08-29	2022-05-17	Fixed	92756.5228162576	Failed	Settled	109	b4d329e4-770b-4c96-a992-d9c1c9de5d4e	9ec0b206-496c-42aa-8db0-10f46d6bc5c6
43d47d08-97a9-4441-9cba-31b96221a0ce	Criminal	Settled	2020-12-27	2022-10-05	Variable	31695.384989547612	Paid	Dismissed	223	df6efda2-77e9-4903-9f7b-56ea5e0bd1bb	873a296b-2d25-43a5-a731-05c5738babe1
47ec7f67-1c12-4c2b-8964-aaa865dc7d26	Family	Pending	2023-12-19	2023-04-20	Variable	15109.986297429077	Paid	Dismissed	130	5280665c-4e11-4039-b81a-73ff5d585ac1	5a4322f9-95c1-4478-81c8-8e6708d33c1b
