Case_Type_ID	Case_Type_Name
6667fb48-e3fb-41ed-b5cf-02242b98f7f4	Civil
dc0c09ca-47c8-4013-8821-e86d42ed2410	Criminal
f66f3942-5957-4d0e-ad87-df504563c857	Commercial
7c4022b4-834f-4194-a970-b10ac27ba650	Civil
4ba57b7e-cf68-42ac-96af-bf18d8f98859	Family
98c79f17-ca5a-494e-bbd8-a5b01e817927	Criminal
acb3e633-80cf-40b8-90ec-97e6662dc282	Criminal
695e9e34-da01-4007-86ff-b3d980146910	Family
8385ae8b-4379-4a29-994f-4c53197ec211	Commercial
fd3e0d58-9f1d-4e14-ab90-9e6fe94a453a	Commercial
521d0d47-22b4-4665-a69c-b2f789952f0c	Civil
c75974e9-a10e-48dd-bf70-e731b48e8b2b	Labour
8361d2af-ad8e-4379-b671-c8abf77a1ef3	Civil
00e5dc0d-2a02-45fd-a7cf-5c56cfde5b27	Commercial
5b1f2f09-16ab-44ba-b1e2-1d1305588c8a	Civil
210872f9-bc1e-4ab8-9a19-7f5db1a256d0	Labour
1462ee86-0b7c-49b2-be8a-56247b6b6bf1	Labour
66cdf7f0-923d-4b69-9e91-0ef4b89ae1a0	Labour
3c59f3c7-703d-4644-8086-c402a86df613	Family
6e210694-797a-402b-a524-5875392b8daa	Commercial
7b935a83-7042-462d-8879-88dedf7629b9	Commercial
14085269-aff9-4923-add2-ec9d721f0e5d	Family
4e897f5f-6e98-4aef-9a3a-347a769c1c00	Labour
625bfc0b-1fc7-4022-a380-bbd23b02b47f	Criminal
3fccd670-8e05-422e-bfb1-d7bc0dcbe636	Family
0ced5428-8881-43d8-a6bc-60265fedb520	Labour
fdbfa03b-241a-428d-af9c-55c2103f86a5	Commercial
28535ae7-5484-4322-8647-a5873058f2c3	Civil
b1123b4d-79ef-405f-95bf-93c5bf455934	Family
919b3a58-57f2-48e2-96cb-86f440de800f	Labour
66a7e36a-c854-4900-bb7d-93ef2faf56f1	Commercial
80d9361e-8377-409c-a51e-8110cb3c9306	Labour
a83e59bb-7326-4890-87c9-ca17b2dff95b	Labour
60a502b9-10cc-42c2-9aba-b46918e00138	Family
038716ca-220a-4510-b2e3-f1481f180379	Civil
b2aae1ca-e0a1-46ab-b264-3cedddb6d439	Civil
6b0c1e79-d776-4bcb-9bc3-fff8760f856b	Criminal
2d0ff4a6-8af3-4860-a97e-7023fae94304	Commercial
4989f26a-53cf-4dc8-820d-9fda7c882d6c	Family
4ac0b4e6-1f57-44dd-8780-5ede937dacbf	Commercial
158d88d6-f237-46ca-9fdd-198a52cbd241	Civil
10e2caa1-65dc-410d-bf15-ef771c8332d0	Civil
5fd56c83-658d-4f24-ad46-682410faa3fe	Civil
7731a06a-394e-4fd4-a015-1bfad36a6450	Civil
ee828bc8-58ab-4cd6-988e-02f65e8e07f6	Civil
66131d5d-c4ed-41bb-8200-811a228254a4	Commercial
eb992ffc-cc8d-45fb-a149-a723f787a5ff	Commercial
7fb58c94-fe95-4d26-921d-46c5f5124d81	Criminal
b527c427-8a50-4156-99d7-9110f68d50db	Criminal
8cd66bfa-2f62-4234-bbe9-04eea9c2fa4d	Family
