Court_ID	Court_Name	Court_Location
262fcc5f-4875-4c30-87b6-6c90df5781d8	Black, Decker and Velez Court	Koforidua
5c4a0783-a40c-4638-8489-09e5a299d591	Mcmillan Inc Court	Bolgatanga
daae7dcb-7fba-469e-9b9b-6b957be7ba13	Garrison, Alvarez and Lynn Court	Tamale
2d3f9bf2-610c-40de-bb78-719425b1814c	Mcmillan-Rodriguez Court	Ho
dd58dcff-78c0-413e-a001-891bf266a8bb	Campbell and Sons Court	Cape Coast
5a3079ac-1e1b-49e0-8d84-3a8cbcf59e92	Boyd, Williamson and Davis Court	Accra
b01c7284-0a87-4067-8982-44953d97dabf	Brown, Rodriguez and Guzman Court	Bolgatanga
d543378f-730d-4445-8a5c-11c70c73dcbd	Williams, Long and Becker Court	Sekondi
bedb3781-0007-4ecb-b07b-1db4164b5850	Hartman-Bradshaw Court	Tamale
dbebbefe-efe9-444d-8d0f-d88595762491	Rivas-Fox Court	Accra
86fc7d38-58e4-41d0-b8a8-1e388ec7fb8f	Garcia-Johnson Court	Cape Coast
f22e678a-1da7-45f5-8b63-25d1faa6d6e4	Webb, Fuller and Wright Court	Tamale
c8ad976e-4d13-43e2-865d-b7162f89eb96	Andrade and Sons Court	Tamale
c53d7716-7869-438c-aec1-d26826f41482	Barber and Sons Court	Takoradi
d6dbc80c-7d99-475a-b912-6c4c22b37ab2	Smith, Martin and Gallegos Court	Takoradi
56236ae0-130a-4400-8978-7a1dc5a042fa	Mueller, Gibbs and Moore Court	Cape Coast
1513a60b-0f05-4f89-a602-3333cd0ce96f	Bradley, Bailey and Carey Court	Kumasi
a79760f3-7938-43fa-87e1-6a5b482ec3a9	Meyers, Pierce and Allen Court	Bolgatanga
e68e9a16-c10d-44f4-ba53-122e13ddcc03	Marshall, Black and Smith Court	Bolgatanga
54383491-b582-4227-b243-ee3d932d5683	Barnes-Nelson Court	Accra
feb839b9-59d5-456d-9780-f02be03a7d59	Lee-Hodge Court	Sekondi
11886590-e701-4413-8324-bcfcf45e8173	Lang and Sons Court	Sunyani
846d35c0-a0cf-48bc-8a33-d265f378b311	Rodgers-Adams Court	Takoradi
adfafbe7-6f17-4c73-88fd-b5b64cafcfe8	Solis-Martinez Court	Tamale
629796ec-f366-469c-a29b-5b76be6a977a	Hanson-Chase Court	Kumasi
95aadac8-d517-4a9f-b1ad-f3c6f74a616f	Sullivan, Hull and Roy Court	Sunyani
7536fd37-5e18-41dd-97f0-f411c7f03a1e	Anderson, Ford and Franklin Court	Bolgatanga
ddf30ecd-4675-4c0c-9065-17cbe0015eab	James-Moreno Court	Kumasi
60fa7527-a1f6-46c2-a1b7-174925d87486	Wheeler-Arroyo Court	Bolgatanga
e2c1a461-940e-43d6-a145-b95be66d8cdd	Reynolds, Diaz and Norris Court	Takoradi
7530682f-e83f-4c4b-bd62-158c4194595b	Pratt, Davis and Dickerson Court	Sunyani
120a8f6e-a654-4226-85dc-ba27971a6f5b	Payne LLC Court	Accra
43c1c6b8-51cf-43de-a78d-4d29e5909e5d	Ward Ltd Court	Takoradi
129f8584-88dd-4694-9e1d-33ba638054da	Jackson-Lawson Court	Tamale
9c989eea-36b6-4e8e-be80-3d63d73383b8	Curtis, Moreno and Evans Court	Tamale
19076c28-0e16-4add-b524-123d38940e14	Lane-Hull Court	Takoradi
87638cf4-e55c-475b-b499-f4d1aa8f1011	Cooper-Williams Court	Kumasi
892229e0-8780-46fb-b85d-6f9029df8c2f	Young Ltd Court	Kumasi
730d62e0-8ff6-418a-9fc2-c0be0a990fa6	Wells and Sons Court	Sekondi
6499512c-b25b-4175-9413-66fee539c36c	Parker-Clark Court	Sunyani
48a1312e-496b-4a81-90d2-5cea37a3ebc5	Hale, Rodriguez and Carter Court	Kumasi
3f3aeac6-9e35-40b7-84f4-b3f9fd23957e	Jackson-Daniels Court	Bolgatanga
3428ad2b-9224-431a-a91a-e9b821a78a78	Mahoney PLC Court	Tamale
362562da-42e3-4aff-ae9f-50c0e345d60a	Gamble, Mcclure and Gardner Court	Koforidua
abd2c9de-75e6-4592-9aa5-44b8f4786c25	Martinez, Anderson and Schultz Court	Sunyani
7b9d2e55-b476-4a1e-9f69-02322986b1a5	Soto and Sons Court	Takoradi
40653bf4-5620-4dbd-88b0-bb12565922cd	Smith and Sons Court	Tamale
0cff68a9-f897-4e21-b0fd-4ffe33f9cc1e	Walker-Knight Court	Kumasi
d5be971b-9829-45cf-820c-548aa5539041	Hunter-Johns Court	Sunyani
726d313f-1305-4bb7-89f0-0d8e8bf1c0f2	Woods, Douglas and Ortiz Court	Sekondi
3fe923a6-848a-40d9-8428-7c7b738c582d	Oliver and Sons Court	Bolgatanga
95342bc1-6ac5-49a7-8484-12824c34060a	Leonard and Sons Court	Tamale
